id:ID,name,inception,:LABEL
Q489525,True BASIC,1983-01-01T00:00:00Z,Technology
Q1485336,GFA BASIC,1986-01-01T00:00:00Z,Technology
Q4053289,XBasic,,Technology
Q4866931,BasicX,,Technology
Q286196,Altair BASIC,1975-01-01T00:00:00Z,Technology
Q1056057,QuickBASIC,1985-01-01T00:00:00Z,Technology
Q5205093,DIBOL,1970-01-01T00:00:00Z,Technology
Q34280,Plankalkül,1942-01-01T00:00:00Z,Technology
Q10135,LibreOffice,2011-01-25T00:00:00Z,Technology
Q3756259,GRASS,1974-01-01T00:00:00Z,Technology
Q2597563,XProfan,1990-01-01T00:00:00Z,Technology
Q1169476,STOS BASIC,1988-01-01T00:00:00Z,Technology
Q34010,Q34010,1990-01-01T00:00:00Z,Technology
Q1374139,Euphoria,1993-01-01T00:00:00Z,Technology
Q2118858,PureBasic,1998-01-01T00:00:00Z,Technology
Q169412,Zebra,1989-01-01T00:00:00Z,Technology
Q28801607,jq,2012-01-01T00:00:00Z,Technology
Q429801,BBC BASIC,1981-01-01T00:00:00Z,Technology
Q28942571,IBM Advanced BASIC,1981-01-01T00:00:00Z,Technology
Q3564719,WLanguage,1992-01-01T00:00:00Z,Technology
Q8777,HTTP,1989-01-01T00:00:00Z,Technology
Q10366596,SQLPL,,Technology
Q4038020,Embeddable Common Lisp,,Technology
Q28865,Q28865,1991-02-20T00:00:00Z,Technology
Q8803,Transmission Control Protocol,,Technology
Q959513,SPIN model checker,1989-01-01T00:00:00Z,Technology
Q14643,Mach,1985-01-01T00:00:00Z,Technology
Q130394349,CIM Query Language,,Technology
Q5615658,Guido van Robot,2009-01-01T00:00:00Z,Technology
Q132291162,Hyperscript,2020-05-27T00:00:00Z,Technology
Q21055605,Pixie,2015-01-01T00:00:00Z,Technology
Q22443669,Robot Emil,,Technology
Q29377880,Shape Expressions,2013-01-01T00:00:00Z,Technology
Q5362035,Elixir,2011-01-09T00:00:00Z,Technology
Q1572865,Sass,2006-11-28T00:00:00Z,Technology
Q5428460,Facebook Query Language,,Technology
Q22661314,Karel 3D,,Technology
Q6944826,MyHDL,,Technology
Q25313489,MicroPython,,Technology
Q8046864,Yahoo! Query Language,,Technology
Q30110326,KAREL 3D,,Technology
Q3068282,LiveCode,2001-07-11T00:00:00Z,Technology
Q41574,PL/SQL,1992-01-01T00:00:00Z,Technology
Q42979,Q42979,1964-01-01T00:00:00Z,Technology
Q4046690,Perl Data Language,1996-01-01T00:00:00Z,Technology
Q2044345,PL/pgSQL,1998-10-30T00:00:00Z,Technology
Q767018,Microsoft Small Basic,2008-10-23T00:00:00Z,Technology
Q913681,Jakarta Persistence Query Language,2009-01-01T00:00:00Z,Technology
Q1396106,Sleep,2004-01-01T00:00:00Z,Technology
Q107477574,EdgeQL,,Technology
Q1700602,Open Programming Language,1984-01-01T00:00:00Z,Technology
Q7629737,Stylus,2011-01-01T00:00:00Z,Technology
Q5304638,Draco,,Technology
Q2428476,Modula,1975-01-01T00:00:00Z,Technology
Q51798,Clojure,2007-01-01T00:00:00Z,Technology
Q10263624,DOPE,,Technology
Q490481,Turing,1982-01-01T00:00:00Z,Technology
Q642207,CHILL,1980-01-01T00:00:00Z,Technology
Q1882071,MUMPS,1966-01-01T00:00:00Z,Technology
Q48987595,Darwin,1991-01-01T00:00:00Z,Technology
Q1926221,C/AL,,Technology
Q2044798,PTS-DOS,,Technology
Q16913488,Algek,,Technology
Q5010978,CGOL,1973-01-01T00:00:00Z,Technology
Q23665359,Redox,2015-04-20T00:00:00Z,Technology
Q5331070,EasyLanguage,,Technology
Q22981701,Delta COBOL,,Technology
Q5370400,Emerald,1980-01-01T00:00:00Z,Technology
Q7118053,PACT,1955-01-01T00:00:00Z,Technology
Q223433,PL/I,1964-01-01T00:00:00Z,Technology
Q633894,Object Pascal,1986-01-01T00:00:00Z,Technology
Q473201,Turbo Pascal,1983-11-20T00:00:00Z,Technology
Q47607,Q47607,1974-01-01T00:00:00Z,Technology
Q777358,Modula-2,1978-01-01T00:00:00Z,Technology
Q7133637,ParaSail,2009-01-01T00:00:00Z,Technology
Q188436,ALGOL,1959-01-01T00:00:00Z,Technology
Q46441,Cascading Style Sheets,1996-12-17T00:00:00Z,Technology
Q7475431,SuperPascal,1993-01-01T00:00:00Z,Technology
Q192490,PostgreSQL,1996-01-01T00:00:00Z,Technology
Q6297370,Joyce,1980-01-01T00:00:00Z,Technology
Q4652452,ALTRAN,1965-01-01T00:00:00Z,Technology
Q1208217,Oz,1991-01-01T00:00:00Z,Technology
Q1359171,REBOL,1997-01-01T00:00:00Z,Technology
Q775159,CLU,1975-01-01T00:00:00Z,Technology
Q1268744,Dylan,1992-01-01T00:00:00Z,Technology
Q4692057,AgentSheets,1991-01-01T00:00:00Z,Technology
Q7023815,Nial,1981-01-01T00:00:00Z,Technology
Q3317751,Mocklisp,,Technology
Q1886145,Piet,1993-01-01T00:00:00Z,Technology
Q6652643,Little b,2004-01-01T00:00:00Z,Technology
Q3547135,UCBLogo,,Technology
Q334879,Erlang,1986-01-01T00:00:00Z,Technology
Q5013542,COWSEL,1964-01-01T00:00:00Z,Technology
Q6716698,MLisp,,Technology
Q275472,Forth,1970-01-01T00:00:00Z,Technology
Q165372,CLIPS,1985-01-01T00:00:00Z,Technology
Q1391724,Factor,2003-01-01T00:00:00Z,Technology
Q218170,PostScript,1982-01-01T00:00:00Z,Technology
Q7265978,Qalb,2012-01-01T00:00:00Z,Technology
Q201436,Logo,1967-01-01T00:00:00Z,Technology
Q849146,Common Lisp,1984-01-01T00:00:00Z,Technology
Q235086,Smalltalk,1972-01-01T00:00:00Z,Technology
Q187560,Scheme,1975-01-01T00:00:00Z,Technology
Q18415077,Pliant,1999-01-01T00:00:00Z,Technology
Q762464,Squeak,1996-01-01T00:00:00Z,Technology
Q1859276,XL,2000-01-01T00:00:00Z,Technology
Q2560076,Abbreviated Test Language for All Systems,1983-12-22T00:00:00Z,Technology
Q83303,Fortran,1957-01-01T00:00:00Z,Technology
Q732089,Eiffel,1986-01-01T00:00:00Z,Technology
Q118152715,Austral,,Technology
Q2613697,Julia,2009-08-23T00:00:00Z,Technology
Q5119098,Ciao,,Technology
Q8042469,XSB,,Technology
Q223679,GNU Octave,1988-01-01T00:00:00Z,Technology
Q19865096,Extempore,,Technology
Q904298,Cosmoe,,Technology
Q5012660,CLACL,2000-01-01T00:00:00Z,Technology
Q60463,Ingres,,Technology
Q3258085,Logtalk,1998-01-01T00:00:00Z,Technology
Q19961543,TempleOS,2013-09-09T00:00:00Z,Technology
Q81571,Pascal,1970-01-01T00:00:00Z,Technology
Q7475416,Speedcoding,1953-01-01T00:00:00Z,Technology
Q3109515,Go!,2003-07-14T00:00:00Z,Technology
Q131140,Q131140,1959-05-28T00:00:00Z,Technology
Q6426496,Kojo,2010-01-01T00:00:00Z,Technology
Q1002996,Snap!,2011-01-01T00:00:00Z,Technology
Q275131,Scratch,2001-01-01T00:00:00Z,Technology
Q57016392,Snap4Arduino,2013-01-01T00:00:00Z,Technology
Q62563,BeOS,1995-10-01T00:00:00Z,Technology
