id:ID,name,inception,country,:LABEL
Q107533353,Portrait of Maria Gertnerówna-Białynicka-Birula,1934-07-01T00:00:00Z,,Art
Q108659734,Portrait of Janusz Domaniewski,1930-03-01T00:00:00Z,,Art
Q114241533,Male portrait,1930-11-09T00:00:00Z,,Art
Q107533017,Portrait of Maria Gertnerówna,1933-04-01T00:00:00Z,,Art
Q114241532,Portrait of Ludwik Solski,1930-05-02T00:00:00Z,,Art
Q114241546,Portrait of Adam Bunsch I.,1933-06-01T00:00:00Z,,Art
Q114241541,"Portrait of Jan Leszczyński, Mongolian prince",1933-01-01T00:00:00Z,,Art
Q108228019,Portrait of Artur Schroeder (?),1929-09-01T00:00:00Z,,Art
Q106589269,Self-portrait,1931-10-12T00:00:00Z,,Art
Q106833080,Self-portrait,1938-12-15T00:00:00Z,,Art
Q107722268,Portrait of a woman (Janina Turowska-Leszczyńska?),1933-10-01T00:00:00Z,,Art
Q113640313,Portrait of Michał Choromański,1930-04-01T00:00:00Z,,Art
Q113677163,Portrait of Helena Białynicka-Birula,1929-10-09T00:00:00Z,,Art
Q113712142,Portrait of Modesta Zwolińska,1929-10-19T00:00:00Z,,Art
Q113712351,Portrait of Teodor Białynicki-Birula,1930-10-05T00:00:00Z,,Art
Q113712325,Portrait of Teodor Białynicki-Birula,1930-04-15T00:00:00Z,,Art
Q109327735,Portrait of Helena Białynicka-Birula,1929-09-10T00:00:00Z,,Art
Q113813224,Portrait of Janina Turowska-Leszczyńska,1930-04-01T00:00:00Z,,Art
Q109523808,Portrait of Nena Stachurska,1931-10-03T00:00:00Z,,Art
Q114040718,Portrait of Helena Białynicka-Birula,1931-01-03T00:00:00Z,,Art
Q106722422,Portrait of Prof. Jan Bystroń with a Pipe,1929-09-01T00:00:00Z,,Art
Q80113,Expressionism,,,Art
Q3362516,Afrofuturism,,,Art
Q122488358,Portrait of Maria Gertnerówna-Białynicka-Birula,1934-07-14T00:00:00Z,,Art
Q65080389,Art et Liberté,1939-01-01T00:00:00Z,Egypt,Art
Q122389297,Portrait of Jadwiga Niedźwiedzka-Skibińska,1931-01-24T00:00:00Z,,Art
Q3306247,Onirism,,Romania,Art
Q122419774,Portrait of Maria Gertnerówna and Michał Białynicki-Birula,1933-04-01T00:00:00Z,,Art
Q122419775,Portrait of M. Milkiewiczówna,1933-04-01T00:00:00Z,,Art
Q122419773,"Portrait of Maria Gertnerówna, rainbow",1933-04-01T00:00:00Z,,Art
Q122419776,"Portrait of Janina Szubert, ""grandma Szubertówna""",1933-04-01T00:00:00Z,,Art
Q122354681,"Portrait of Zofia Jagodowska, a girl's smile",1930-03-01T00:00:00Z,,Art
Q122419768,"Portrait of Janina Turowska-Leszczyńska, Ineczka, if she was dabbling in philosophy",1933-01-01T00:00:00Z,,Art
Q122390984,Portrait of a Woman (Janina Turowska-Leszczyńska?),1931-08-01T00:00:00Z,,Art
Q122488363,Portrait of Tadeusz Wawrzyniec Pietrzkiewicz,1935-01-01T00:00:00Z,,Art
Q122389299,Portrait of Zan jr.,1931-01-30T00:00:00Z,,Art
Q122389300,Portrait of Hanka Moesówna,1931-01-01T00:00:00Z,,Art
Q122389239,Portrait of Kazimierz Grus,1930-04-01T00:00:00Z,,Art
Q122419771,Self portrait,1933-02-01T00:00:00Z,,Art
Q4317244,neosurrealism,,,Art
Q1628039,Utrecht Caravaggism,1610-01-01T00:00:00Z,Dutch Republic,Art
Q72206346,solarpunk,2008-01-01T00:00:00Z,,Art
Q4824756,Australian Tonalism,1910-01-01T00:00:00Z,Australia,Art
Q135963728,Portrait of Anna Meus,1931-02-01T00:00:00Z,,Art
Q18534061,Inside a Barn,1891-01-01T00:00:00Z,,Art
Q25039455,Afro-Surrealism,,,Art
Q16680386,Ton Fan Group,1956-01-01T00:00:00Z,People's Republic of China,Art
Q134696287,Portrait of Jadwiga Trembecka,1927-05-01T00:00:00Z,,Art
Q122488353,Portrait of Janina Szubert,1933-04-01T00:00:00Z,,Art
Q46825,Gothic art,,Italy,Art
Q3578034,École liégeoise de peinture,,Prince-Bishopric of Liège,Art
Q123173369,Portrait of Anna Meus,1931-02-22T00:00:00Z,,Art
Q55995,Naturalism,,,Art
Q173782,Art Deco,1910-01-01T00:00:00Z,France,Art
Q122389298,Female Portrait,1931-01-24T00:00:00Z,,Art
Q122488355,Female Portrait,1933-01-01T00:00:00Z,,Art
Q122488838,Portrait of Franciszek Czerwiński,1936-11-01T00:00:00Z,,Art
Q122389243,Portrait of Stanisław Totwen,1930-10-01T00:00:00Z,,Art
Q122389238,Portrait of Janina Turowska-Leszczyńska,1930-04-01T00:00:00Z,,Art
Q122390986,Portrait,1931-08-01T00:00:00Z,,Art
Q122556109,Portrait of Antonina Czerwińska,1938-06-01T00:00:00Z,,Art
Q122556108,Portrait of Antonina Czerwińska,1938-04-01T00:00:00Z,,Art
Q22671144,The Apotheosis of Athanasios Diakos,1933-01-01T00:00:00Z,Greece,Art
Q120920240,Female portrait,1939-08-23T00:00:00Z,,Art
Q114242591,Portrait of Marceli Staroniewicz,1926-04-12T00:00:00Z,,Art
Q114383090,Portrait of Zofia Mohuczyna,1929-03-01T00:00:00Z,,Art
Q114388605,Portrait of Michał Białynicki-Birula,1928-04-01T00:00:00Z,,Art
Q121843031,Portrait of Aleksander Oszacki,1933-01-01T00:00:00Z,,Art
Q118132040,"Portrait of Edwarda Szmuglarowska, Ethiopian princess",1930-01-06T00:00:00Z,,Art
Q114591646,Portrait of Helena Białynicka-Birula,1930-01-14T00:00:00Z,,Art
Q121899432,Portrait of Jadwiga Niedźwiedzka-Skibińska,1931-02-21T00:00:00Z,,Art
Q121898811,"Portrait of a man on a ""cosmic"" background",1936-11-17T00:00:00Z,,Art
