id:ID,name,birth_date,place_of_birth,occupation,:LABEL
Q5105,Céline Dion,1968-03-30T00:00:00Z,Charlemagne,singer,Human
Q1394,Vladimir Lenin,1870-04-22T00:00:00Z,Ulyanovsk,politician,Human
Q1340,Antonio Vivaldi,1678-03-04T00:00:00Z,Venice,composer,Human
Q1398,Virgil,-0069-10-13T00:00:00Z,Andes,writer,Human
Q15869,Freddie Mercury,1946-09-05T00:00:00Z,Zanzibar City,singer,Human
Q15615,Lil Wayne,1982-09-27T00:00:00Z,New Orleans,rapper,Human
Q15873,Brian May,1947-07-19T00:00:00Z,Hampton,actor,Human
Q15798,Guido of Siena,1230-01-01T00:00:00Z,Italy,painter,Human
Q15792,Duccio di Buoninsegna,1255-01-01T00:00:00Z,Siena,painter,Human
Q2263,Tom Hanks,1956-07-09T00:00:00Z,Concord,television actor,Human
Q2274,Chet Baker,1929-12-23T00:00:00Z,Yale,singer,Human
Q2161,Tacitus,0055-01-01T00:00:00Z,Gallia Narbonensis,annalist,Human
Q2124,Valéry Giscard d'Estaing,1926-02-02T00:00:00Z,Koblenz,statesperson,Human
Q2098,Martial,0040-03-01T00:00:00Z,Augusta Bilbilis,writer,Human
Q2129,Bode Miller,1977-10-12T00:00:00Z,Easton,alpine skier,Human
Q1779,Louis Armstrong,1901-08-04T00:00:00Z,New Orleans,actor,Human
Q1768,Ella Fitzgerald,1917-04-25T00:00:00Z,Newport News,conductor,Human
Q1744,Madonna,1958-08-16T00:00:00Z,Bay City,songwriter,Human
Q2291,Totò,1898-02-15T00:00:00Z,Naples,film actor,Human
Q1666,Jacques Brel,1929-04-08T00:00:00Z,Schaerbeek - Schaarbeek,singer,Human
Q1646,Françoise Sagan,1935-06-21T00:00:00Z,Cajarc,playwright,Human
Q1631,Édith Piaf,1915-12-19T00:00:00Z,Paris,singer,Human
Q1652,Justin Gatlin,1982-02-10T00:00:00Z,Brooklyn,athletics competitor,Human
Q15257,Ron Paul,1935-08-20T00:00:00Z,Pittsburgh,air force officer,Human
Q15474,"Sir William Hamilton, 9th Baronet",1788-03-08T00:00:00Z,Glasgow,philosopher of mind,Human
Q15451,W. D. Hamilton,1936-08-01T00:00:00Z,Cairo,psychologist,Human
Q47484,André Gide,1869-11-22T00:00:00Z,Paris,translator,Human
Q82925,Joseph Conrad,1857-12-03T00:00:00Z,Berdychiv,writer,Human
Q42455,Björk,1965-11-21T00:00:00Z,Reykjavík,actor,Human
Q36330,Giordano Bruno,1548-01-01T00:00:00Z,Nola,mathematician,Human
Q33977,Jules Verne,1828-02-08T00:00:00Z,Nantes,playwright,Human
Q61064,Wassily Kandinsky,1866-12-04T00:00:00Z,Moscow,illustrator,Human
Q31164,Ellie Goulding,1986-12-30T00:00:00Z,Hereford,singer-songwriter,Human
Q5383,David Bowie,1947-01-08T00:00:00Z,Brixton,singer-songwriter,Human
Q15897,Amy Winehouse,1983-09-14T00:00:00Z,Chase Farm Hospital,recording artist,Human
Q5269,Peire Vidal,1175-01-01T00:00:00Z,Toulouse,troubadour,Human
Q5264,Hippocrates,-0459-01-01T00:00:00Z,Kos,physician,Human
Q5333,Charles Lyell,1797-11-14T00:00:00Z,Angus,scientific collector,Human
Q5284,Bill Gates,1955-10-28T00:00:00Z,Seattle,entrepreneur,Human
Q1804,Barbara,1930-06-09T00:00:00Z,17th arrondissement of Paris,singer,Human
Q1785,Charles Aznavour,1924-05-22T00:00:00Z,6th arrondissement of Paris,diplomat,Human
Q1868,Paul Otlet,1868-08-23T00:00:00Z,City of Brussels,librarian,Human
Q9191,René Descartes,1596-03-31T00:00:00Z,Descartes,mechanical automaton engineer,Human
Q9204,C. S. Lewis,1898-11-29T00:00:00Z,Belfast,writer,Human
Q9200,Paul the Apostle,0005-01-01T00:00:00Z,Tarsus,writer,Human
Q5599,Peter Paul Rubens,1577-07-08T00:00:00Z,Siegen,painter,Human
Q5603,Andy Warhol,1928-08-06T00:00:00Z,Pittsburgh,screenwriter,Human
Q9312,Immanuel Kant,1724-04-22T00:00:00Z,Königsberg,university teacher,Human
Q9317,John Maynard Keynes,1883-06-05T00:00:00Z,Cambridge,politician,Human
Q1698,Serge Gainsbourg,1928-04-02T00:00:00Z,4th arrondissement of Paris,singer,Human
Q2516,Helmut Schmidt,1918-12-23T00:00:00Z,Hamburg,politician,Human
Q2001,Stanley Kubrick,1928-07-26T00:00:00Z,The Bronx,producer,Human
Q2518,Helmut Kohl,1930-04-03T00:00:00Z,Friesenheim,politician,Human
Q2593,Matthew Vaughn,1971-03-07T00:00:00Z,London,screenwriter,Human
Q7836,Q7836,1898-11-21T00:00:00Z,Lessines,architectural draftsperson,Human
Q7833,Boris Vian,1920-03-10T00:00:00Z,Ville-d'Avray,translator,Human
Q7199,Marcel Proust,1871-07-10T00:00:00Z,16th arrondissement of Paris,novelist,Human
Q1716,Renaud,1952-05-11T00:00:00Z,15th arrondissement of Paris,singer,Human
Q6538,Günter Grass,1927-10-16T00:00:00Z,Free City of Danzig,screenwriter,Human
Q6527,Jean-Jacques Rousseau,1712-06-28T00:00:00Z,Geneva,musicologist,Human
